page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptop88,MSI Prestige A16 AI+ A3HMG-045VN ,MSI,https://laptop88.vn/new-100-msi-prestige-a16-ai-a3hmg-045vn-ryzen-ai-9-365-ram-32gb-1tb-ssd-16-inch-4k-oled-10,https://laptop88.vn/media/product/250_9283_87150_laptop_msi_prestige_a16_ai_a3hmg_045vn_ryzen_ai_9_365_ram_32gb_onboard_1tb_ssd_16_0_uhd_4k_oled_100_dci_p3_windows_11.jpg,38990000,0,1,CPU AMD Ryzen AI 9-365,AMD,32GB,LPDDR5x,1TB,SSD,AMD Radeon 880M,AMD,16,
laptop88,Lenovo ThinkBook 14 G6+ AHP 21LF0002CD ,Lenovo,https://laptop88.vn/new-100-laptop-lenovo-thinkbook-14-g6-ahp-21lf0002cd-amd-r7-8845h-32gb-ssd-1tb-14-5-inch-3k,https://laptop88.vn/media/product/pro_poster_9277.jpg,22990000,0,1,CPU Ryzen 7 8845H,Ryzen,32GB,LPDDR5x,SSD,1TB,AMD Radeon 780M,AMD,14.5,3K
laptop88,Macbook Pro M4 Max 2024 ,Macbook,https://laptop88.vn/new-100-macbook-pro-m4-max-2024-16-inch-liquid-retina-xdr,https://laptop88.vn/media/product/250_9274_macbook_pro_m4_max_16_inch_2024__1_.jpg,,0,1,CPU Apple M4 Max 14 Core Apple M4 Max 16 Core,Apple,36GB,,SSD,,GPU 32 Core GPU 40 Core,GPU,16.2,
laptop88,Macbook Pro M4 Pro 2024 ,Macbook,https://laptop88.vn/new-100-macbook-pro-m4-pro-2024-14-core-cpu-20-core-gpu-16-inch-liquid-retina-xdr,https://laptop88.vn/media/product/250_9271_macbook_pro_16_m4_pro.jpg,,0,1,CPU Apple M4 Pro 14 Core,Apple,24GB,,SSD,,GPU 20 Core,GPU,16.2,
laptop88,Macbook Pro M4 Max 2024 ,Macbook,https://laptop88.vn/new-100-macbook-pro-m4-max-2024-14-core-cpu-32-core-gpu-14-inch-liquid-retina-xdr,https://laptop88.vn/media/product/250_9270_macbook_pro_m4_2024.jpg,,0,1,CPU Apple M4 Max 14 Core,Apple,36GB,,SSD,,GPU 32 Core,GPU,14.2,
laptop88,Macbook Pro M4 Pro 2024 ,Macbook,https://laptop88.vn/new-100-macbook-pro-m4-pro-2024-14-inch-liquid-retina-xdr,https://laptop88.vn/media/product/250_9269_macbook_pro_m4_2024.jpg,,0,1,CPU Apple M4 Pro 12 Core Apple M4 Pro 14 Core,Apple,24GB,,SSD,512GB,GPU 16 Core GPU 20 Core,GPU,14.2,
laptop88,HP 15 fc0025dx 9Q1E9UA ,HP,https://laptop88.vn/new-100-laptop-hp-15-fc0025dx-9q1e9ua-amd-r5-7520u-15-6-inch-hd-touch,https://laptop88.vn/media/product/250_9266_hp_laptop_15_fc0025dx_2024_2tmobile__1_.jpg,10290000,0,1,CPU AMD R5-7520U,AMD,8GB,DDR4,SSD,512GB,AMD Radeon Graphics,AMD,15.6,
laptop88,Acer Swift Go 14 SFG14-71T-728K ,Acer,https://laptop88.vn/new-outlet-laptop-acer-swift-go-14-sfg14-71t-728k-intel-core-i7-1355u-16gb-ssd-1tb-14-inch-wuxga-touch,https://laptop88.vn/media/product/250_9265_7879_acer_swift_go_14.jpg,16990000,0,1,CPU Intel Core i7-1355U,Intel,16GB,LPDDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14,
laptop88,HP Envy x360 2 in 1 14-fa0023dx 9S1R4UA ,HP,https://laptop88.vn/new-outlet-laptop-hp-envy-x360-2-in-1-14-fa0023dx-9s1r4ua-amd-ryzen-7-8840hs-16gb-1tb-14-inch-full-hd-touch,https://laptop88.vn/media/product/pro_poster_9147.jpg,16990000,0,1,CPU AMD R7-8840HS,AMD,16GB,DDR5,SSD,1TB,AMD Radeon Graphics,AMD,14,FHD
laptop88,Asus ROG Strix G16 G614JU-N4450W ,Asus,https://laptop88.vn/new-100-laptop-asus-rog-strix-g16-g614ju-n4450w-intel-core-i7-13650hx-rtx-4050-16-inch-wqxga-240hz,https://laptop88.vn/media/product/pro_poster_8972.jpg,38690000,0,1,CPU Intel Core i7-13650HX,Intel,16GB,DDR5-4800,SSD,1TB,NVIDIA GeForce RTX 4050 6GB GDDR6,NVIDIA,16,2.5K
laptop88,Asus ROG Strix G16 G614JIR-N4193W ,Asus,https://laptop88.vn/new-100-laptop-asus-rog-strix-g16-g614jir-n4193w-intel-core-i9-14900hx-rtx-4070-32gb-ram-16-inch-wqxga-240hz,https://laptop88.vn/media/product/250_9262_8971_8775_photo_2024_02_01_13_27_17.jpg,54690000,0,1,CPU Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,,NVIDIA GeForce RTX 4070 8GB GDDR6,NVIDIA,16,2.5K
laptop88,Asus ROG Strix G18 G814JU-N6143W ,Asus,https://laptop88.vn/new-100-laptop-asus-rog-strix-g18-g814ju-n6143w-intel-core-i7-13650hx-rtx-4050-18-inch-wqxga-240hz,https://laptop88.vn/media/product/250_9261_asus_rog_strix_g18_g814ju_n6143w.jpg,40490000,0,1,CPU Intel Core i7 13650HX,Intel,16GB,DDR5,SSD,1TB,NVIDIA RTX4050 6GB GDDR6,NVIDIA,18,
laptop88,Asus ROG Strix G18 G814JVR-N6089W ,Asus,https://laptop88.vn/new-100-laptop-asus-rog-strix-g18-g814jvr-n6089w-intel-core-i9-14900hx-rtx-4060-18-inch-wqxga-240hz,https://laptop88.vn/media/product/250_9260_03_2_g_18_l_6ba8e517193d4807938cf340d8d3ba71_grande.jpg,49990000,0,1,CPU Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,NVIDIA,18,
