page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Memoryzone,Laptop HP 14s-dq5122TU 8W356PA,HP,https://memoryzone.com.vn/laptop-hp-15s-dq5122tu-8w356pa,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-hp-14s-dq5122tu-8w356pa-01.jpg?v=1721009730397,9290000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,14.0,FHD
Memoryzone,Laptop Asus Vivobook 14 X1404ZA-NK386W,Asus,https://memoryzone.com.vn/laptop-asus-vivobook-14-x1404za-nk386w,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-asus-vivobook-14-x1404za-nk386w-06.jpg?v=1718961865893,9690000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,512 GB,Intel UHD Graphics,Intel,14.0,FHD
Memoryzone,Laptop HP 15s-FQ5231TU 8U241PA,HP,https://memoryzone.com.vn/laptop-hp-15s-fq5231tu-8u241pa,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-hp-15s-fq5231tu-8u241pa-05.jpg?v=1722395584220,9990000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,15.6,FHD
Memoryzone,Laptop ASUS ExpertBook B1 B1402CVA-NK0104W,Asus,https://memoryzone.com.vn/laptop-asus-expertbook-b1-b1402cva-nk0104w,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-asus-expertbook-b1-b1402cva-nk0104w-02.jpg?v=1726031496690,10690000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,14.0,FHD
Memoryzone,Laptop Asus Vivobook 15 X1504VA-NJ069W,Asus,https://memoryzone.com.vn/laptop-asus-vivobook-15-x1504va-nj069w,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-asus-vivobook-15-x1504va-nj069w-1.jpg?v=1683255335237,10690000,0,1,i3-1315U,Intel,8GB,DDR4,SSD,512GB,UHD Graphics,UHD,15.6,FHD
Memoryzone,Laptop ASUS ExpertBook B1 B1502CVA-NJ0149W,Asus,https://memoryzone.com.vn/laptop-asus-expertbook-b1-b1502cva-nj0149w,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-asus-expertbook-b1-b1502cva-nj0149w-02.jpg?v=1726037125627,10990000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,512 GB,Intel UHD Graphics,Intel,15.6,FHD
Memoryzone,Laptop HP 15-fd0306TU A2NL7PA,HP,https://memoryzone.com.vn/laptop-hp-15-fd0306tu-a2nl7pa,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-hp-15-fd0306tu-a2nl7pa-08.jpg?v=1726645116533,11790000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,15.6,FHD
Memoryzone,Laptop MSI Modern 14 C12MO-660VN,MSI,https://memoryzone.com.vn/laptop-msi-modern-14-c12mo-660vn,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/424edab8-517b-4594-be08-6c80d3436a02-0fe76ea1-c327-4098-8ea3-deb1b93a4426-dfcc9394-30de-4b16-84ad-7f1a43e5a8b4-08ce0017-1ef5-4b50-82d4-66cf8a47f7d7.jpg?v=1704297951430,11790000,0,1,i5-1235U,Intel,16GB,DDR4,SSD,512GB,Iris Xe Graphics,Iris,14,FHD
Memoryzone,Laptop HP 15-fd0305TU A2NL6PA,HP,https://memoryzone.com.vn/laptop-hp-15-fd0305tu-a2nl6pa,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-hp-15-fd0305tu-a2nl6pa-04.jpg?v=1726636575620,11990000,0,1,Intel Core i3,Intel,8 GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,15.6,FHD
Memoryzone,Laptop Dell Inspiron 15 3530 N3530-i3U085W11SLU,Dell,https://memoryzone.com.vn/laptop-dell-inspiron-15-3530-n3530-i3u085w11slu,https://bizweb.dktcdn.net/thumb/medium/100/329/122/products/laptop-dell-inspiron-15-3530-n3530-i3u085w11slu-05.jpg?v=1723445541967,12690000,0,1,i3-1305U,Intel,8GB,DDR4,SSD,512GB,Intel UHD Graphics,Intel,15.6,FHD
