page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,Dell Inspiron 16 5630,Dell,https://thinkpro.vn/laptop/dell-inspiron-16-5630,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/3/14/in5630nt-cnb-00055rf110-sl.jpg,15990000,0,1,Intel Core i5 1340P,Intel,16GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,16,FHD
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 11,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-11,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/12/23/lenovo-thinkpad-x1-carbon-gen-11-thinkpro-01.png,27990000,0,1,Intel Core i7 1365U,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Dell Inspiron 14 5430,Dell,https://thinkpro.vn/laptop/dell-inspiron-14-5430,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/4/4/dell-inspiron-14-5430-thinkpro-01.png,15990000,0,1,Intel Core i5 1340P,Intel,16GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Lenovo ThinkBook 14 G5+,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g5,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/4/22/lenovo-thinkbook-14-g5-thinkpro.png,17990000,0,1,AMD Ryzen 7 7735H,AMD,16GB,LPDDR5,SSD,512 GB,AMD Radeon 680M,AMD,14,3K
Thinkpro,Microsoft Surface Pro 9,Microsoft,https://thinkpro.vn/laptop/microsoft-surface-pro-9,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/microsoft-surface-pro-9-undefined.jpg,26990000,0,1,Intel Core i7 1255U,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe Graphics,Intel,13,3K
Thinkpro,Lenovo ThinkPad X1 Nano Gen 2,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-gen-2,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/1/15/Lenovo_ThinkPad_X1_Nano_Gen_2.png,31390000,0,1,Intel Core i7 1280P,Intel,32GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,13,2K
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 10,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-10,,18490000,0,1,,, ,,SSD,,,,,
Thinkpro,Dell XPS 13 Plus 9320,Dell,https://thinkpro.vn/laptop/dell-xps-13-plus-9320,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/5/8/dell-xps-13-plus-9320-thinkpro.jpg,52990000,0,1,Intel Core i7 1360P,Intel,32GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,13.4,4K
Thinkpro,Dell XPS 13 9315 (2022),Dell,https://thinkpro.vn/laptop/dell-xps-13-9315-2022,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/6/13/xps139315%201.png,16990000,0,1,Intel Core i5 1230U,Intel,8GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,13.4,FHD
Thinkpro,Dell Inspiron 14 Plus (7420),Dell,https://thinkpro.vn/laptop/dell-inspiron-14-plus-7420,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/17/dell-inspiron-14-plus-7420-undefined-iFl.jpg,16790000,0,1,Intel Core i7 12700H,Intel,16GB,DDR5,SSD,512 GB,Intel Iris Xe Graphics,Intel,14,2K
