page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,ASUS TUF Gaming A15 FA506NF HN005W,ASUS,https://thinkpro.vn/laptop/asus-tuf-gaming-a15-fa506nf-hn005w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/18/asus-tuf-gaming-a15-fa506nf-hn005w-undefined.jpg,14390000,0,1,Intel Ryzen 5 7535HS,Intel,8GB,DDR5,SSD,512 GB,RTX 2050 4GB,RTX,15.6,FHD
Thinkpro,Asus Zenbook 14 OLED UX3405MA-PP475W,Asus,https://thinkpro.vn/laptop/asus-zenbook-14-oled-ux3405ma-pp475w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/28/laptop-asus-zenbook-14-oled-ux3405ma-pp475w-undefined.jpg,33490000,0,1,Intel Core Ultra 9 185H,Intel,32GB,LPDDR5x,SSD,1,Intel Arc Graphics,Intel,14,3K
Thinkpro,Asus Zenbook 14 OLED UX3405MA-PP152W,Asus,https://thinkpro.vn/laptop/asus-zenbook-14-oled-ux3405ma-pp152w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/28/laptop-asus-zenbook-14-oled-ux3405ma-pp152w-undefined.jpg,30890000,0,1,Intel Core Ultra 7 155H,Intel,32GB,LPDDR5x,SSD,1,Intel Arc Graphics,Intel,14,3K
Thinkpro,Asus Zenbook 14 OLED UX3405MA-PP588W,Asus,https://thinkpro.vn/laptop/asus-zenbook-14-oled-ux3405ma-pp588w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/28/laptop-asus-zenbook-14-oled-ux3405ma-pp588w-undefined-amC.jpg,25990000,0,1,Intel Core Ultra 5 125H,Intel,16GB,LPDDR5x,SSD,512 GB,Intel Arc Graphics,Intel,14,3K
Thinkpro,Asus Zenbook 14 OLED UX3405MA-PP151W,Asus,https://thinkpro.vn/laptop/asus-zenbook-14-oled-ux3405ma-pp151w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/28/laptop-asus-zenbook-14-oled-ux3405ma-pp151w-undefined.jpg,25990000,0,1,Intel Core Ultra 5 125H,Intel,16GB,LPDDR5x,SSD,512 GB,Intel Arc Graphics,Intel,14,3K
Thinkpro,Asus Zenbook S 13 OLED UX5304MA-NQ117W,Asus,https://thinkpro.vn/laptop/asus-zenbook-s-13-oled-ux5304ma-nq117w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/28/laptop-asus-zenbook-s-13-oled-ux5304ma-nq117w-undefined.jpg,41990000,0,1,Intel Core Ultra 7 155U,Intel,32GB,LPDDR5,SSD,1,Intel Iris Xe Graphics,Intel,13.3,3K
Thinkpro,Lenovo Xiaoxin Pro 16 APH8,Lenovo,https://thinkpro.vn/laptop/lenovo-xiaoxin-pro-16-aph8,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/26/lenovo-xiaoxin-pro-16-aph8-undefined.jpg,22390000,0,1,AMD R7 7840HS,AMD,32GB,LPDDR5,SSD,1,AMD Radeon 780M,AMD,16,FHD
Thinkpro,Lenovo ThinkBook 14 G7 AHP,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g7-arp,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/21/lenovo-thinkbook-14-g7-arp-undefined.jpg,18990000,0,1,AMD Ryzen 5 8645H,AMD,16GB,DDR5,SSD,1,AMD Radeon 760M Graphics,AMD,14,3K
Thinkpro,Lenovo Ideapad Slim 5 Light 14ABR8 82XS0006VN,Lenovo,https://thinkpro.vn/laptop/lenovo-ideapad-slim-5-light-14abr8-82xs0006vn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/19/lenovo-ideapad-slim-5-light-14abr8-82xs0006vn-undefined.jpg,12990000,0,1,AMD Ryzen 5 7530U,AMD,8GB,DDR4,SSD,512 GB,AMD Radeon Graphics,AMD,14,FHD
Thinkpro,Lenovo Legion Pro 5 16IRX9 83DF0047VN,Lenovo,https://thinkpro.vn/laptop/lenovo-legion-pro-5-16irx9-83df0047vn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/18/lenovo-legion-pro-5-16irx9-83df0047vn-undefined-HAO.jpg,45990000,0,1,Intel Core i9-14900HX,Intel,32GB,DDR5,SSD,1,RTX 4060 8GB,RTX,16,FHD
