page,name,brand,link,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
laptopworld,Laptop Asus Vivobook S 14 OLED S5406MA-PP046WS (Intel® Core™ Ultra 5 125H | 16GB | 512GB | Intel® Arc™ Graphics | 14.0inch 3K OLED | Win 11 | Office | Xanh),Laptop Asus,https://laptopworld.vn/laptop-asus-vivobook-s-14-oled-s5406ma-pp046ws,26990000.0,0,1,Intel Core Ultra 5 125H ,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14.0,OLED
laptopworld,Lenovo IdeaPad Slim 3 15ABR8 82XM00EHVN (Ryzen™ 7-7730U | 16GB | 512GB | AMD Radeon™ Graphics | 15.6 inch FHD | Win 11 | Xám),Lenovo,https://laptopworld.vn/lenovo-ideapad-slim-3-15abr8-82xm00ehvn,16390000.0,0,1,AMD Ryzen 77730U ,AMD,16.0,DDR4,SSD,512GB,AMD Radeon Graphics,AMD,15.6,HD
laptopworld,Laptop ASUS Zenbook 14 OLED UX3405MA-PP151W (Intel® Core™ Ultra 5 | 16GB | 512GB | Intel® Arc™ Graphics | 14.0inch 3K OLED | Win 11 | Xanh),Laptop ASUS,https://laptopworld.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,28990000.0,0,1,Intel Core Ultra 5 125H ,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14.0,OLED
laptopworld,Laptop LG Gram 2024 14Z90S-G.AH55A5 (Core Ultra 5 125H | 16GB | 512GB | Intel Arc | 14 inch WUXGA | Win 11 | Đen),Laptop LG,https://laptopworld.vn/laptop-lg-gram-2024-14z90s-g-ah55a5,36290000.0,0,1,Intel Core Ultra 5 125H ,Intel,16.0,DDR5,SSD,512GB,Intel Arc graphics,Intel,14.0,IPS
laptopworld,"Laptop Dell Inspiron 7440 2in1 (Core 5 120U , Ram 8GB, SSD 512GB, Intel® Graphics, 14 inch FHD+, Win 11, Xanh)",Laptop Dell,https://laptopworld.vn/laptop-dell-inspiron-7440-2in1-core-5-120u-ram-8gb-ssd-512gb-intel-graphics-14-inch-fhd-win-11-xanh,18990000.0,0,1,Intel Core 5 processor 120U ,Intel,8.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,HD
laptopworld,Laptop ASUS Vivobook S 14 OLED M5406WA-PP071WS ( Ryzen AI 9 HX 370 | 32GB | 1TB | AMD Radeon™ 890M Graphics | 14inch 3K OLED | Win 11 | Bạc),Laptop ASUS,https://laptopworld.vn/laptop-asus-vivobook-s-14-oled-m5406wa-pp071ws,33990000.0,0,1,AMD Ryzen AI 9 HX 370 ,AMD,32.0,DDR5,SSD,1TB,AMD Radeon 890M Graphics,AMD,14.0,OLED
laptopworld,Laptop Lenovo Yoga Slim 7 14IMH9 83CV001VVN (Intel® Core™ Ultra 7 155H | 32GB | 1TB | Intel® Arc™ Graphics | 14.0 WUXGA OLED | Win 11 | Office | Xám),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-yoga-slim-7-14imh9-83cv001vvn,31990000.0,0,1,Intel Core Ultra 7 155H ,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,,OLED
laptopworld,"Laptop HP Envy x360 2in1 14-es1013dx (Core 5 120U, Ram 8GB, 512GB SSD, Intel Graphics, 14inch FHD, Cảm ứng, Win 11, Bạc)",Laptop HP,https://laptopworld.vn/laptop-hp-envy-x360-2in1-14-es1013dx,17990000.0,0,1,Intel Core 5 120U ,Intel,8.0,DDR4,SSD,512GB,Intel Graphics,Intel,14.0,HD
laptopworld,Laptop Asus Vivobook 14 OLED A1405ZA-KM263W  (Core™ i7-12700H | 16GB | 512GB | Intel Iris Xᵉ Graphics | 14.0inch 2.8K OLED | Win 11 | Bạc),Laptop Asus,https://laptopworld.vn/laptop-asus-vivobook-14-oled-a1405za-km263w,20490000.0,0,1,Intel Core i712700H ,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xᵉ Graphics,Intel,14.0,8K
laptopworld,"Laptop Lenovo Ideapad Pro 5 (Core i5-13500H, Ram 16GB, 1TB SSD, RTX 3050, 16inch 2.5K 120Hz)",Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-ideapad-pro-5-core-i5-13500h-ram-16gb-1tb-ssd-rtx-3050-16inch-2-5k-120hz,25990000.0,0,1,Intel Core i513500H ,Intel,16.0,DDR5,SSD,1TB,NVIDIA GeForce RTX 3050 6GB GDDR6,Nvidia,16.0,IPS
laptopworld,LG Gram Style 2023 14Z90RS-G.AH54A5 (Core i5-1340P | 16GB | 512GB | Intel Iris Xe | 14-inch WQXGA+ | Win 11 | Trắng),LG,https://laptopworld.vn/lg-gram-style-2023-14z90rs-g-ah54a5.html,38990000.0,0,1,Intel Core i51340P ,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,OLED
laptopworld,Laptop Lenovo IdeaPad Pro 5 16IMH9 83D40059VN (Intel® Core™ Ultra 7 155H | 16GB | 512GB |  RTX 4050 | 16.0inch 2K OLED 120Hz | Win 11 | Xám),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-ideapad-pro-5-16imh9-83d40059vn,37990000.0,0,1,Intel Core Ultra 7 155H ,Intel,16.0,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,Nvidia,16.0,2K
laptopworld,Laptop Lenovo ThinkPad X13 Gen 5 21LU004WVN (Ultra 7 155U | 32GB | 1TB | Intel® Graphics | 13.3 inch WUXGA | Cảm ứng | Win 11 Pro | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-x13-gen-5-21lu004wvn,43290000.0,0,1,Intel Core Ultra 7 155U ,Intel,32.0,DDR5,SSD,1TB,Intel Graphics,Intel,13.3,IPS
laptopworld,Laptop Lenovo ThinkPad X13 Gen 5 21LU004LVN (Ultra 7 155H | 32GB | 1TB | Intel® Arc™ Graphics | 13.3 inch WUXGA | Cảm ứng | Win 11 Pro | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-x13-gen-5-21lu004lvn,44390000.0,0,1,Intel Core Ultra 7 155H ,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,13.3,IPS
laptopworld,Laptop Lenovo ThinkPad T16 Gen 3 21MN007RVN (Ultra 7 155U | 32GB | 1TB | Intel® Arc™ Graphics | 16 inch WUXGA | Win 11 Pro | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-t16-gen-3-21mn007rvn,41090000.0,0,1,Intel Core Ultra 7 155U ,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,16.0,IPS
laptopworld,Laptop Lenovo ThinkPad T16 Gen 3 21MN007QVN (Ultra 7 155U | 16GB | 1TB | Intel® Arc™ Graphics | 16 inch WUXGA | Win 11 Pro | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-t16-gen-3-21mn007qvn,39290000.0,0,1,Intel Core Ultra 7 155U ,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,16.0,IPS
laptopworld,Laptop Lenovo ThinkPad L16 Gen 1 21L3003LVA (Ultra 7 155U | 16GB | 512GB | Intel® Arc™ Graphics | 16 inch WUXGA | No OS | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-l16-gen-1-21l3003lva,29390000.0,0,1,Intel Core Ultra 7 155H ,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,16.0,IPS
laptopworld,Laptop Lenovo ThinkPad X1 Carbon Gen 12 21KC008SVN (Ultra 7 155H | 32GB | 1TB | Intel Arc Graphics | 14.0inch 2.8K | Cảm ứng | Win 11 Pro | Đen),Laptop Lenovo,https://laptopworld.vn/laptop-lenovo-thinkpad-x1-carbon-gen-12-21kc008svn,60190000.0,0,1,Intel Core Ultra 7 155H ,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,8K
