brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Asus,26990000.0,0,1,Intel Core Ultra 5 125H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14.0,OLED
Lenovo,16390000.0,0,1,AMD Ryzen 77730U,AMD,16.0,DDR4,SSD,512GB,AMD Radeon Graphics,AMD,15.6,HD
Asus,28990000.0,0,1,Intel Core Ultra 5 125H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14.0,OLED
LG,36290000.0,0,1,Intel Core Ultra 5 125H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,14.0,IPS
Dell,18990000.0,0,1,Intel Core 5 processor 120U,Intel,8.0,DDR5,SSD,512GB,Intel Graphics,Intel,14.0,HD
Asus,33990000.0,0,1,AMD Ryzen AI 9 HX 370,AMD,32.0,DDR5,SSD,1TB,AMD Radeon 890M Graphics,AMD,14.0,OLED
Lenovo,31990000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,,OLED
HP,17990000.0,0,1,Intel Core 5 120U,Intel,8.0,DDR4,SSD,512GB,Intel Graphics,Intel,14.0,HD
Asus,20490000.0,0,1,Intel Core i712700H,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,8K
Lenovo,25990000.0,0,1,Intel Core i513500H,Intel,16.0,DDR5,SSD,1TB,NVIDIA GeForce RTX 3050,Nvidia,16.0,IPS
LG,38990000.0,0,1,Intel Core i51340P,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14.0,OLED
Lenovo,37990000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050,Nvidia,16.0,2K
Lenovo,43290000.0,0,1,Intel Core Ultra 7 155U,Intel,32.0,DDR5,SSD,1TB,Intel Graphics,Intel,13.3,IPS
Lenovo,44390000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,13.3,IPS
Lenovo,41090000.0,0,1,Intel Core Ultra 7 155U,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,16.0,IPS
Lenovo,39290000.0,0,1,Intel Core Ultra 7 155U,Intel,16.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,16.0,IPS
Lenovo,29390000.0,0,1,Intel Core Ultra 7 155H,Intel,16.0,DDR5,SSD,512GB,Intel Arc Graphics,Intel,16.0,IPS
Lenovo,60190000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,8K
Lenovo,58490000.0,0,1,Intel Core Ultra 7 155H,Intel,32.0,DDR5,SSD,1TB,Intel Arc Graphics,Intel,14.0,8K
