brand,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Dell,15990000.0,0,1,Intel Core i5 1340P,Intel,16.0,LPDDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,16,FHD
Lenovo,27990000.0,0,1,Intel Core i7 1365U,Intel,16.0,LPDDR5,SSD,256GB,Intel Iris Xe Graphics,Intel,14,FHD
Dell,15990000.0,0,1,Intel Core i5 1340P,Intel,16.0,LPDDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14,FHD
Lenovo,17990000.0,0,1,AMD Ryzen 7 7735H,AMD,16.0,LPDDR5,SSD,512GB,AMD Radeon 680M,AMD,14,3K
Microsoft,26990000.0,0,1,Intel Core i7-1255U,Intel,16.0,LPDDR5,SSD,256GB,Intel Iris Xe Graphics,Intel,13,3K
Lenovo,31390000.0,0,1,Intel Core i7 1280P,Intel,32.0,LPDDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,13,2K
Dell,52990000.0,0,1,Intel Core i7-1360P,Intel,32.0,LPDDR5,SSD,1TB,Intel Iris Xe Graphics,Intel,13.4,4K
Dell,16990000.0,0,1,Intel Core i5-1230U,Intel,8.0,LPDDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,13.4,FHD
Dell,16790000.0,0,1,Intel Core i7 12700H,Intel,16.0,DDR5,SSD,512GB,Intel Iris Xe Graphics,Intel,14,2K
Macbook,28990000.0,0,1,Apple M2,Apple,8.0,LPDDR5,SSD,256GB,Apple GPU,Apple,13.4,2.5K
Dell,24990000.0,0,1,Intel Core i7-11850H,Intel,16.0,DDR4,SSD,1TB,Quadro RTX A2000 4GB,Quadro,15.6,FHD
Lenovo,12190000.0,0,1,Intel Core i5-10310U,Intel,16.0,LPDDR3,SSD,256GB,Intel UHD 620,Intel,14,FHD
Lenovo,16990000.0,0,1,Intel Core i7 1160G7,Intel,16.0,LPDDR4X,SSD,256GB,Intel Iris Xe Graphics,Intel,13,2K
Lenovo,16390000.0,0,1,Intel Core i5 1145G7,Intel,16.0,LPDDR4X,SSD,256GB,Intel Iris Xe Graphics,Intel,14,FHD
Lenovo,9990000.0,0,1,Intel Core i5 8365U,Intel,16.0,LPDDR3,SSD,512GB,Intel UHD Graphics,Intel,14,FHD
Lenovo,17990000.0,0,1,Intel Core i7-1255U,Intel,16.0,DDR4,SSD,512GB,Intel UHD Graphics,Intel,16,FHD
Lenovo,29990000.0,0,1,Intel Core i7 12700H,Intel,16.0,DDR5,SSD,512GB,Quadro RTX A1000 4GB,Quadro,16,4K
Lenovo,17990000.0,0,1,Intel Core i7 1185G7,Intel,32.0,LPDDR4X,SSD,512GB,Intel Iris Xe Graphics,Intel,14,FHD
Acer,20790000.0,0,1,Intel Core i7 12650H,Intel,16.0,DDR4,SSD,1TB,Geforce RTX 4050 6GB,Geforce,15.6,FHD
Microsoft,10790000.0,0,1,Intel Core i5 1135G7,Intel,8.0,LPDDR4X,SSD,128GB,Intel Iris Xe Graphics,Intel,12.3,3K
Lenovo,14990000.0,0,1,Intel Core i7 1265U,Intel,16.0,LPDDR4,SSD,256GB,Intel Iris Xe Graphics,Intel,14,FHD
Lenovo,13690000.0,0,1,Intel Core i7 1185G7,Intel,16.0,LPDDR4X,SSD,256GB,Intel Iris Xe Graphics,Intel,13,FHD
Dell,9990000.0,0,1,Intel Core i5 1135G7,Intel,16.0,DDR4,SSD,512GB,Intel Iris Xe Graphics,Intel,15.6,FHD
Lenovo,19990000.0,0,1,Intel Core i7 10850H,Intel,32.0,DDR4,SSD,1TB,Geforce GTX 1650Ti Max-Q 4GB,Geforce,15.6,FHD
Lenovo,28690000.0,0,1,Intel Core i7-11850H,Intel,32.0,DDR4,SSD,512GB,NVIDIA GeForce RTX 3070 8GB,NVIDIA,16,4K
Lenovo,24990000.0,0,1,Intel Core i7-11850H,Intel,32.0,DDR4,SSD,1TB,Quadro T1200M 4GB,Quadro,16,4K
Lenovo,10390000.0,0,1,Intel Core i7 10510U,Intel,16.0,DDR4,SSD,256GB,Intel UHD Graphics,Intel,14,FHD
Dell,18990000.0,0,1,Intel Core i5 1245U,Intel,16.0,LPDDR5,SSD,256GB,Intel Iris Xe graphics,Intel,14,2.5K
Dell,26990000.0,0,1,Intel Core i7-1250U,Intel,16.0,LPDDR4X,SSD,512GB,Intel Iris Xe Graphics,Intel,13,3K
Lenovo,16390000.0,0,1,AMD Ryzen 7 6800H,AMD,16.0,LPDDR5,SSD,512GB,AMD Radeon 660M Graphics,AMD,14,3K
Lenovo,28790000.0,0,1,Intel Core i7 12700H,Intel,16.0,DDR5,SSD,256GB,GeForce RTX 3050Ti 4GB,GeForce,16,4K
