iter	RMSE
0	13609259.93
1	12933099.35
2	12329419.92
3	11804826.28
4	11316819.09
5	10916821.63
6	10576556.94
7	10263531.84
8	9959557.557
9	9693243.947
10	9450332.548
11	9245155.758
12	9068083.428
13	8866879.655
14	8727672.294
15	8573779.388
16	8424235.143
17	8317402.066
18	8246979.39
19	8134660.726
20	8034232.939
21	7952931.026
22	7871021.659
23	7770712.954
24	7692474.769
25	7616908.213
26	7545102.855
27	7465857.294
28	7409172.757
29	7329677.93
30	7270696.045
31	7241599.388
32	7210027.808
33	7166205.85
34	7128010.093
35	7076901.192
36	7031469.997
37	7013347.579
38	6959766.892
39	6923167.357
40	6873639.588
41	6854768.154
42	6822558.698
43	6800597.868
44	6758463.335
45	6735143.894
46	6711311.529
47	6700386.32
48	6674264.058
49	6660836.558
50	6640041.255
51	6620212.486
52	6604184.317
53	6585499.014
54	6555443.505
55	6535363.096
56	6522392.089
57	6512721.486
58	6497225.867
59	6480334.3
60	6457551.77
61	6444323.746
62	6420335.621
63	6401667.411
64	6367504.435
65	6342595.442
66	6317528.095
67	6287509.159
68	6273305.927
69	6243404.993
70	6220962.371
71	6207606.736
72	6171480.261
73	6152531.616
74	6141176.678
75	6118326.032
76	6114734.667
77	6098995.808
78	6086214.986
79	6068431.302
80	6060824.414
81	6034657.103
82	6013836.785
83	6001339.419
84	5984556.297
85	5967079.505
86	5947359.854
87	5939378.977
88	5932523.32
89	5923159.086
90	5911406.133
91	5889542.8
92	5870275.247
93	5864369.947
94	5852546.548
95	5844368.965
96	5818753.496
97	5805693.494
98	5790549.692
99	5769625.577
100	5750016.5
101	5740124.869
102	5722672.539
103	5717186.653
104	5693753.189
105	5670071.265
106	5664305.896
107	5657200.099
108	5647257.451
109	5638007.74
110	5620119.036
111	5603183.377
112	5586155.718
113	5571535.378
114	5564417.142
115	5540316.621
116	5521583.176
117	5507991.434
118	5499230.778
119	5494005.978
120	5478877.36
121	5470251.528
122	5449904.941
123	5431511.778
124	5417168.441
125	5405213.42
126	5396070.981
127	5376489.595
128	5364192.641
129	5354892.094
130	5354677.213
131	5345896.496
132	5335364.572
133	5320558.419
134	5314795.8
135	5307521.084
136	5298900.449
137	5284895.979
138	5264326.195
139	5258233.283
140	5247362.699
141	5238273.987
142	5235180.183
143	5217393.092
144	5211534.329
145	5207740.695
146	5193400.257
147	5189767.221
148	5177710.138
149	5168707.424
150	5161325.751
151	5148974.013
152	5142444.753
153	5131678.067
154	5116561.433
155	5113015.811
156	5101338.213
157	5100325.607
158	5093535.605
159	5090104.159
160	5079309.165
161	5065681.088
162	5062422.476
163	5049953.321
164	5036938.749
165	5023538.53
166	5011711.051
167	4992102.277
168	4991841.746
169	4985389.719
170	4976322.822
171	4970645.959
172	4964088.619
173	4953346.867
174	4945835.187
175	4939816.218
176	4931646.989
177	4921135.573
178	4919117.263
179	4914790.396
180	4894418.633
181	4888554.892
182	4884536.377
183	4871147.198
184	4866717.847
185	4857523.225
186	4846572.911
187	4839032.993
188	4834987.577
189	4824634.22
190	4818808.462
191	4814147.735
192	4811919.267
193	4802228.069
194	4795319.384
195	4783349.307
196	4773734.605
197	4760331.244
198	4758639.89
199	4752351.506
200	4740851.184
201	4731458.373
202	4725856.114
203	4724066.939
204	4714093.319
205	4713166.244
206	4706031.589
207	4690217.124
208	4681503.479
209	4677485.476
210	4674397.106
211	4670807.716
212	4656300.985
213	4654443.339
214	4641565.343
215	4638582.904
216	4632251.789
217	4624297.92
218	4619767.098
219	4616103.129
220	4607334.811
221	4600861.688
222	4593424.755
223	4587387.462
224	4583284.004
225	4576233.54
226	4570507.345
227	4568308.601
228	4563054.658
229	4550561.497
230	4539707.535
231	4536696.384
232	4530225.758
233	4520727.006
234	4516047.893
235	4510624.959
236	4501838.55
237	4494238.612
238	4486791.493
239	4481283.629
240	4472317.929
241	4469868.391
242	4464975.572
243	4463163.719
244	4460261.202
245	4458242.929
246	4455847.85
247	4450518.197
248	4439233.205
249	4429192.782
250	4423049.54
251	4419578.18
252	4404476.235
253	4400913.67
254	4397947.551
255	4392721.129
256	4389161.92
257	4381225.568
258	4374056.85
259	4371077.593
260	4364282.308
261	4357452.889
262	4354190.91
263	4342329.802
264	4333194.953
265	4325646.093
266	4321420.756
267	4314549.007
268	4311865.399
269	4303972.592
270	4300778.638
271	4293049.524
272	4289413.596
273	4283476.318
274	4266339.308
275	4260970.834
276	4255721.977
277	4251406.027
278	4247841.909
279	4242394.073
280	4241000.349
281	4236798.451
282	4229918.876
283	4224012.152
284	4219225.932
285	4217050.19
286	4213456.21
287	4212002.82
288	4207926.228
289	4203952.093
290	4203064.201
291	4200023.638
292	4199416.51
293	4194807.893
294	4190628.264
295	4186974.209
296	4177858.895
297	4171847.887
298	4165324.917
299	4156509.683
