iter	Passed	Remaining
0	3	1190
1	6	970
2	8	810
3	9	733
4	11	699
5	13	656
6	16	684
7	18	689
8	21	687
9	23	683
10	32	855
11	34	833
12	37	824
13	39	804
14	41	780
15	42	762
16	45	755
17	47	738
18	48	721
19	50	705
20	52	696
21	55	695
22	57	691
23	59	685
24	61	680
25	65	688
26	67	682
27	69	674
28	70	662
29	72	654
30	75	653
31	77	647
32	79	641
33	80	633
34	83	629
35	84	622
36	86	615
37	89	618
38	93	622
39	96	624
40	97	619
41	100	620
42	103	620
43	105	616
44	107	610
45	109	606
46	112	602
47	113	598
48	116	597
49	118	592
50	120	586
51	122	583
52	125	583
53	127	579
54	129	575
55	132	575
56	134	572
57	136	569
58	138	565
59	140	561
60	143	560
61	145	559
62	147	553
63	149	552
64	151	548
65	154	546
66	156	543
67	158	540
68	160	536
69	162	534
70	165	534
71	167	531
72	169	528
73	172	526
74	174	522
75	176	519
76	178	516
77	180	513
78	182	511
79	185	509
80	187	506
81	189	503
82	191	500
83	193	498
84	195	495
85	197	491
86	199	489
87	201	486
88	204	484
89	206	480
90	208	478
91	210	475
92	212	472
93	214	470
94	216	466
95	218	463
96	220	461
97	223	461
98	226	458
99	228	457
100	231	456
101	234	454
102	236	451
103	238	450
104	241	447
105	243	444
106	245	442
107	247	440
108	249	438
109	251	435
110	253	432
111	257	432
112	259	428
113	261	426
114	264	424
115	265	421
116	268	419
117	270	417
118	272	414
119	274	412
120	276	409
121	278	406
122	281	404
123	283	402
124	286	401
125	288	398
126	291	397
127	293	394
128	295	391
129	297	389
130	299	385
131	301	383
132	302	380
133	304	377
134	306	374
135	308	372
136	310	369
137	312	366
138	314	363
139	316	361
140	318	358
141	320	356
142	322	354
143	324	351
144	326	349
145	328	346
146	330	344
147	333	342
148	335	339
149	337	337
150	340	335
151	343	333
152	345	331
153	347	329
154	349	327
155	352	325
156	353	322
157	356	320
158	358	317
159	360	315
160	362	312
161	364	310
162	365	307
163	368	305
164	370	303
165	372	300
166	374	298
167	377	296
168	379	293
169	380	291
170	382	288
171	384	286
172	388	285
173	389	281
174	390	279
175	392	276
176	395	275
177	397	272
178	398	269
179	401	267
180	402	264
181	405	262
182	407	260
183	409	258
184	411	255
185	413	253
186	415	250
187	417	248
188	420	246
189	422	244
190	425	242
191	427	240
192	432	239
193	434	237
194	436	235
195	438	232
196	440	230
197	442	227
198	444	225
199	446	223
200	450	221
201	452	219
202	454	217
203	457	215
204	459	212
205	461	210
206	464	208
207	467	206
208	469	204
209	471	202
210	474	200
211	476	197
212	478	195
213	480	193
214	482	190
215	485	188
216	487	186
217	489	184
218	491	181
219	493	179
220	495	177
221	498	175
222	500	172
223	502	170
224	505	168
225	507	166
226	509	163
227	512	161
228	514	159
229	517	157
230	519	155
231	521	152
232	523	150
233	525	148
234	528	146
235	530	143
236	532	141
237	534	139
238	536	136
239	538	134
240	540	132
241	543	130
242	545	127
243	547	125
244	549	123
245	551	121
246	554	118
247	556	116
248	559	114
249	561	112
250	563	110
251	565	107
252	567	105
253	569	103
254	572	100
255	574	98
256	577	96
257	579	94
258	580	91
259	582	89
260	584	87
261	587	85
262	589	82
263	591	80
264	593	78
265	595	76
266	597	73
267	599	71
268	601	69
269	603	67
270	605	64
271	607	62
272	610	60
273	612	58
274	615	55
275	618	53
276	619	51
277	622	49
278	624	46
279	626	44
280	628	42
281	630	40
282	633	38
283	635	35
284	637	33
285	638	31
286	640	29
287	642	26
288	645	24
289	647	22
290	649	20
291	652	17
292	654	15
293	656	13
294	658	11
295	660	8
296	662	6
297	665	4
298	667	2
299	669	0
