page,name,brand,link,price,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,screen_size,screen_type
laptopworld,Laptop Asus ROG Zephyrus G16 GU603VV-N4022W (Core™ i7-13620H | 16GB | 512GB | RTX 4060 8GB | 16inch WQXGA 240Hz | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-zephyrus-g16-gu603vv-n4022w,47990000.0,Intel Core i713620H ,Intel,16,DDR4,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,16,HD
laptopworld,Laptop Asus TUF Gaming F15 FX507ZC4-HN074W (Core i5-12500H | 8GB | 512GB | RTX 3050 4GB | 15.6inch FHD | Win 11 | Xám),Laptop Asus,/laptop-asus-tuf-gaming-f15-fx507zc4-hn074w.html,23990000.0,Intel Core i512500H ,Intel,8,DDR4,SSD,512GB,NVIDIA GeForce RTX 3050 4GB GDDR6,15.6 ,HD
laptopworld,Laptop Asus ROG Strix G16 G614JU-N4132W (Core™ i7-13650HX | 16GB | 512GB SSD | RTX 4050 6GB | 16inch QHD+ 240Hz | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-strix-g16-g614ju-n4132w,38990000.0,Intel Core i713650HX ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,16,HD
laptopworld,Laptop Lenovo Legion Pro 5 16IRX9 83DF0047VN (Core™ i9-14900HX | 32GB | 1TB | RTX™ 4060 8GB | 16inch WQXGA 240Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-legion-pro-5-16irx9-83df0047vn.html,49990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16.0,IPS
laptopworld,"Laptop Lenovo Legion 5 16IRX9 (Core i7-14650HX, Ram 16GB, SSD 512GB, RTX 4060, 16inch WQXGA, Win 11, Xám)",Laptop Lenovo,/laptop-lenovo-legion-5-16irx9-core-i7-14650hx-ram-16gb-ssd-512gb-rtx-4060-16inch-wqxga-win-11-xam,38990000.0,Intel Core i714650HX ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,16.0,IPS
laptopworld,Laptop Asus TUF Gaming A16 Advantage Edition FA617NSR-RL100W (Ryzen™ 7-7435HS | 16GB | 512GB | Radeon™ RX7600S | 16.0inch WUXGA 144Hz | Win 11 | Đen),Laptop Asus,/laptop-asus-tuf-gaming-a16-advantage-edition-fa617nsr-rl100w,28490000.0,AMD Ryzen 77435HS ,AMD,16,DDR5,SSD,512GB,AMD Radeon RX7600S 8GB GDDR6,16.0,
laptopworld,Laptop Asus ROG Flow X16 GV601VV-NF044W (Core™ i9-13900H | 16GB | 1TB | RTX 4060 8GB | 16.0inch QHD+ 240Hz | Cảm ứng | Đi kèm bút | W11| Đen),Laptop Asus,/laptop-asus-rog-flow-x16-gv601vv-nf044w,54990000.0,Intel Core i913900H ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX  4060 8GB GDDR6,16.0,HD
laptopworld,Laptop Lenovo LOQ 15ARP9 AI 83JC007JVN (Ryzen™ 5-7235HS | 24GB | 512GB | RTX™ 3050 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-loq-15arp9-ai-83jc007jvn,24490000.0,AMD Ryzen 57235HS ,AMD,24,DDR5,SSD,512GB,NVIDIA GeForce RTX 3050 6GB GDDR6,15.6,HD
laptopworld,Laptop Asus TUF Gaming A15 FA506NFR-HN006W (Ryzen™ 7-7435HS | 16GB | 512GB | RTX™ 2050 4GB | 15.6inch FHD 144Hz | Win 11 | Đen),Laptop Asus,/laptop-asus-tuf-gaming-a15-fa506nfr-hn006w,21990000.0,AMD Ryzen 77435HS ,AMD,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,15.6,HD
laptopworld,Laptop Lenovo Legion Slim 5 16AHP9 83DH003BVN (Ryzen™ 7-8845HS | 32GB | 1TB | RTX 4060 8GB | 16inch WQXGA 165Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-legion-slim-5-16ahp9-83dh003bvn,44990000.0,AMD Ryzen 78845HS ,AMD,32,DDR5,SSD,1TB,NNVIDIA GeForce RTX 4060 8GB GDDR6,16,IPS
laptopworld,"Laptop Dell Alienware X14 R2 (Core™ i7-13620H, Ram 16GB, SSD 512GB, RTX™ 4050, 14inch QHD+ 165Hz, Win 11, Bạc)",Laptop Dell,/laptop-dell-alienware-x14-r2-core-i7-13620h-ram-16gb-ssd-512gb-rtx-4050-14inch-qhd-165hz-win-11-bac,36990000.0,Intel Core i713620H ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,14,HD
laptopworld,Laptop ASUS Gaming Vivobook K3605ZF-RP634W (Core™ i5-12500H | 16GB | 512GB | RTX 2050 | 16inch FHD+ 144Hz | Win 11 | Đen),Laptop ASUS,/laptop-asus-gaming-vivobook-k3605zf-rp634w,20990000.0,Intel Core i512500H ,Intel,16,DDR4,SSD,512GB,NVIDIA GeForce RTX 2050 4GB GDDR6,16,HD
laptopworld,Laptop Lenovo LOQ Essential 15IAX9E 83LK0036VN (Core i5-12450HX | 12GB | 512GB | RTX 3050 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop Lenovo,/laptop-lenovo-loq-essential-15iax9e-83lk0036vn,21990000.0,Intel Core i512450HX ,Intel,12,DDR5,SSD,512GB,NVIDIA GeForce RTX 3050 6GB GDDR6,15.6,HD
laptopworld,Laptop Asus ROG Zephyrus G14 GA403UU-QS138W (Ryzen™ 9-8945HS | 16GB | 1TB | RTX 4050 6GB | 14.0inch 3K OLED | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-zephyrus-g14-ga403uu-qs138w,46990000.0,AMD Ryzen 98945HS ,AMD,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4050 6GB GDDR6,14.0,OLED
laptopworld,"Laptop Lenovo LOQ 15ARP9 (Ryzen™ 7-7435HS, Ram 16GB, 512GB SSD, RTX™ 4070, 15.6 inch FHD 144Hz , Win 11, Xám)",Laptop Lenovo,/laptop-lenovo-loq-15arp9-ryzen-7-7435hs-ram-16gb-512gb-ssd-rtx-4070-15-6-inch-fhd-144hz-win-11-xam,28990000.0,AMD Ryzen 77435HS ,AMD,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4070 8GB GDDR6,15.6,HD
laptopworld,"Laptop Acer Predator Helios Neo PHN16-72-93Q8 (Core i9-14900HX, Ram 16GB, 1TB SSD, RTX 4060 8GB, 16inch 2.5K 180Hz, Win 11, Đen)",Laptop Acer,/laptop-acer-predator-helios-neo-phn16-72-93q8,36490000.0,Intel Core i914900HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16 ,IPS
laptopworld,Dell Mobile Precision Workstation 3581 (Core i9-13900H | 16GB | 512GB | RTX 2000 Ada 8GB | 15.6 inch FHD | Ubuntu),Dell,/dell-mobile-precision-workstation-3581-core-i9-13900h-16gb-512gb-rtx-2000-ada-8gb-15-6-inch-fhd-ubuntu,60990000.0,Intel Core i913900H ,Intel,16,DDR5,SSD,512GB,NVIDIA RTX 2000 Ada 8GB GDDR6,15.6 ,HD
laptopworld,Laptop Asus TUF Gaming F15 FX507VI-LP077W (Core i7-13620H | 16GB | 1TB | RTX 4070 | 15.6 inch FHD 144Hz | Win 11 | Xám),Laptop Asus,/laptop-asus-tuf-gaming-f15-fx507vi-lp077w,41990000.0,Intel Core i713620H ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4070 8GB GDDR6 140W TGP,15.6 ,HD
laptopworld,Laptop Acer Predator Helios Neo PHN16-72-78L4 NH.QNPSV.012 (Core i7-14650HX | 16GB | 1TB |  RTX 4050 | 16inch WQXGA 240Hz | Win 11 | Đen),Laptop Acer,/laptop-acer-predator-helios-neo-phn16-72-78l4-nh-qnpsv-012,,Intel Core i714650HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4050 6GB GDDR6,16 ,IPS
laptopworld,Laptop Asus ROG Strix G16 G614JVR-N4231W (Core™ i9-14900HX | 32GB | 1TB | RTX 4060 8GB | 16inch WQXGA 240Hz | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-strix-g16-g614jvr-n4231w,49990000.0,Intel Core i914900HX ,Intel,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16,IPS
laptopworld,Laptop Asus ROG Strix G16 G614JV-N4369W (Core™ i7-13650HX | 16GB | 1TB | RTX 4060 8GB | 16inch WUXGA 240Hz | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-strix-g16-g614jv-n4369w,42990000.0,Intel Core i713650HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16,HD
laptopworld,Laptop Asus ROG Zephyrus G14 GA403UV-QS202W (Ryzen™ 9-8945HS | 32GB | 1TB | RTX 4060 8GB | 14.0inch 3K OLED | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-zephyrus-g14-ga403uv-qs202w,50990000.0,AMD Ryzen 98945HS ,AMD,32,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,14.0,OLED
laptopworld,Laptop ASUS TUF Gaming F16 FX607JU-N3139W (Core i7-13650HX | 16GB | 512GB | RTX 4050 | 16 inch WUXGA | Win 11 | Xám),Laptop ASUS,/laptop-asus-tuf-gaming-f16-fx607ju-n3139w,30990000.0,Intel Core i713650HX ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4050 6GB GDDR6,16 ,HD
laptopworld,Laptop ASUS TUF Gaming F16 FX607JV-N3199W (Core i7-13650HX | 16GB | 512GB | RTX 4060 | 16 inch WUXGA | Win 11 | Xám),Laptop ASUS,/laptop-asus-tuf-gaming-f16-fx607jv-n3199w,32990000.0,Intel Core i713650HX ,Intel,16,DDR5,SSD,512GB,NVIDIA GeForce RTX 4060 8GB GDDR6,16 ,HD
laptopworld,Laptop Asus ROG Strix G16 G614JV-N3514W (Core™ i7-13650HX | 16GB | 1TB | RTX 4060 8GB | 16inch WUXGA 165Hz | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-strix-g16-g614jv-n3514w,40990000.0,Intel Core i713650HX ,Intel,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4060 8GB GDDR6,16,HD
laptopworld,Laptop Asus ROG Zephyrus G14 GA403UU-QS135W (Ryzen™ 9-8945HS | 16GB | 1TB | RTX 4050 6GB | 14.0inch 3K OLED | Win 11 | Xám),Laptop Asus,/laptop-asus-rog-zephyrus-g14-ga403uu-qs135w,45990000.0,AMD Ryzen 98945HS ,AMD,16,DDR5,SSD,1TB,NVIDIA GeForce RTX 4050 6GB GDDR6,14.0,OLED
