page,name,brand,link,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
thegioididong,Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),Laptop Asus,http://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w?utm_flashsale=1,,0,1,AMD Ryzen 5- 7520U,AMD,16,LPDDR5,SSD,512 GB,Card tích hợp- AMD Radeon Graphics,AMD,15.6,Độ phân giải:Full HD
thegioididong,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5052W1),Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5052w1?itm_source=home&itm_medium=product_card&itm_campaign=viewed,16490000.0,0,1,Intel Core i5 Alder Lake- 1235U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn?gidzl=pvSuMSyUd4VFZZXRpWIUGSw3EL_I2Sf4sDDc3Oa9nX28WpPPYbkNGuc4C5-A0vT6WDvXMZ8olfKhp1-QGm,13890000.0,0,1,Intel Core i5 Alder Lake- 12450H,Intel,16,LPDDR5,SSD,512 GB,Card tích hợp-Intel UHD Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002),Laptop Acer,http://www.thegioididong.com/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,10690000.0,0,1,AMD Ryzen 7- 5700U,AMD,8,DDR4,SSD,512 GB,Card tích hợp- AMD Radeon Graphics,AMD,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA),Laptop HP,http://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa,11890000.0,0,1,Intel Core i3 Raptor Lake - 1315U,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel UHD Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop Apple MacBook Air 13 inch M1 8GB/256GB (MGN63SA/A),Laptop MacBook,http://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,18190000.0,0,1,Apple M1,Apple,8,,SSD,256 GB,Card tích hợp- 7 nhân GPU,Apple,13.3,Retina
thegioididong,Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),Laptop Asus,http://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w,,0,1,Intel Core i3 Alder Lake-1215U,Intel,8,DDR4,SSD,512 GB,Card tích hợp-Intel UHD Graphics,Intel,15.6,Độ phân giải:Full HD
thegioididong,Laptop HP 15 fc0085AU R5 7430U/16GB/512GB/Win11 (A6VV8PA),Laptop HP,http://www.thegioididong.com/laptop/hp-15-fc0085au-r5-a6vv8pa,12990000.0,0,1,AMD Ryzen 5- 7430U,AMD,16,DDR4,SSD,512 GB,Card tích hợp- AMD Radeon Graphics,AMD,15.6,Độ phân giải:Full HD
thegioididong,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,11990000.0,0,1,AMD Ryzen 5- 7520U,AMD,16,LPDDR5,SSD,512 GB,Card tích hợp- AMD Radeon 610M Graphics,AMD,15.6,Độ phân giải:Full HD
thegioididong,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),Laptop Acer,http://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,13490000.0,0,1,Intel Core i5 Alder Lake- 1235U,Intel,16,DDR5,SSD,512 GB,Card tích hợp- Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Intel,14,Độ phân giải:Full HD
thegioididong,Laptop Apple MacBook Pro 14 inch M3 8GB/512GB (MR7J3SA/A),Laptop MacBook,http://www.thegioididong.com/laptop/macbook-pro-14-inch-m3-2023,,0,1,Apple M3 - Hãng không công bố,Apple,8,,SSD,512 GB,Card tích hợp- 10 nhân GPU,Apple,14.2,Retina
thegioididong,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),Laptop Asus,http://www.thegioididong.com/laptop/asus-vivobook-x1404za-i5-nk376w?utm_flashsale=1,,0,1,Intel Core i5 Alder Lake- 1235U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,14,Độ phân giải:Full HD
thegioididong,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT),Laptop HP,http://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,12490000.0,0,1,AMD Ryzen 5- 7530U,AMD,8,DDR4,SSD,512 GB,Card tích hợp- AMD Radeon Graphics,AMD,14,Độ phân giải:Full HD
thegioididong,Laptop Lenovo Ideapad Slim 5 14IAH8 i5 12450H/16GB/1TB/Win11 (83BF003WVN),Laptop Lenovo,http://www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn,16790000.0,0,1,Intel Core i5 Alder Lake- 12450H,Intel,16,LPDDR5,SSD,1 TB,Card tích hợp-Intel UHD Graphics,Intel,14,WUXGA
thegioididong,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),Laptop Acer,http://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,,0,1,AMD Ryzen 7- 5700U,AMD,16,LPDDR4,SSD,512 GB,Card tích hợp- AMD Radeon Graphics,AMD,14,WUXGA
thegioididong,Laptop Apple MacBook Air 13 inch M2 8GB/256GB (MLXY3SA/A),Laptop MacBook,http://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,,0,1,Apple M2,Apple,8,,SSD,256 GB,Card tích hợp- 8 nhân GPU,Apple,13.6,Retina
thegioididong,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/120Hz/Win11 (MA415W),Laptop Asus,http://www.thegioididong.com/laptop/asus-asus-vivobook-15-oled-a1505za-i5-ma415w,17490000.0,0,1,Intel Core i5 Alder Lake- 12500H,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,2.8K
thegioididong,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11,Laptop Dell,http://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-25p231,16490000.0,0,1,Intel Core i5 Alder Lake- 1235U,Intel,16,DDR4,SSD,512 GB,Card tích hợp-Intel Iris Xe Graphics,Intel,15.6,Độ phân giải:Full HD
